PLZ;ORT;Bezirk;
3922;Schweiggers;Bezirk Zwettl;
3923;Großschönau;Bezirk Gmünd;
3923;Schweiggers;Bezirk Zwettl;
3923;Zwettl-Niederösterreich;Bezirk Zwettl;
3924;Groß Gerungs;Bezirk Zwettl;
3924;Zwettl-Niederösterreich;Bezirk Zwettl;
3925;Altmelon;Bezirk Zwettl;
3925;Arbesbach;Bezirk Zwettl;
3925;Liebenau;Bezirk Freistadt;
3931;Schweiggers;Bezirk Zwettl;
3931;Zwettl-Niederösterreich;Bezirk Zwettl;
3932;Kirchberg am Walde;Bezirk Gmünd;
3932;Schweiggers;Bezirk Zwettl;
